id,da aNo ificacao,ocupacaoSuspei oCli,ocupacaoSuspei oU i,ocupacaoConfirmadoCli,ocupacaoConfirmadoU i,ocupacaoCovidU i,ocupacaoCovidCli,ocupacaoHospi alarU i,ocupacaoHospi alarCli,saidaSuspei aObi os,saidaSuspei aAl as,saidaConfirmadaObi os,saidaConfirmadaAl as,origem,es adoNo ificacao,municipioNo ificacao,es ado,municipio,_crea ed_a,_upda ed_a,target
1290566,2022-01-01 03:00:12,0,0,0,0,0,0,0,16,0,0,0,0,parse-cloud,Minas Gerais,Cláudio,Minas Gerais,Cláudio,2022-01-01 11:13:31.155,2022-01-01 11:13:31.155,0
1290569,2022-01-01 03:00:27,0,0,0,0,10,18,10,18,0,0,0,1,parse-cloud,Espíri o San o,Linhares,Espíri o San o,Linhares,2022-01-01 11:15:56.871,2022-01-01 11:15:56.871,0
1290570,2022-01-01 03:00:32,0,0,0,0,0,0,0,3,0,1,0,0,parse-cloud,Rio Grande do Sul,Serafina Corrêa,Rio Grande do Sul,Serafina Corrêa,2022-01-01 11:17:25.506,2022-01-01 11:17:25.506,0
1290571,2022-01-01 03:00:15,0,0,0,0,0,0,0,3,0,0,0,0,parse-cloud,Minas Gerais,Guapé,Minas Gerais,Guapé,2022-01-01 11:17:50.573,2022-01-01 11:17:50.573,0
1290572,2022-01-01 03:00:24,0,0,0,0,1,16,15,74,0,4,0,0,parse-cloud,Minas Gerais,I ajubá,Minas Gerais,I ajubá,2022-01-01 11:21:18.564,2022-01-01 11:21:18.564,1
1290574,2022-01-01 03:00:50,0,0,0,0,0,0,10,14,0,0,0,0,parse-cloud,Minas Gerais, eófilo O oni,Minas Gerais, eófilo O oni,2022-01-01 11:21:36.448,2022-01-01 11:21:36.448,0
1290575,2022-01-01 03:00:27,0,0,0,0,0,2,25,72,0,0,0,1,parse-cloud,São Paulo,São Paulo,São Paulo,São Paulo,2022-01-01 11:21:46.259,2022-01-01 11:21:46.259,0
1290576,2022-01-01 03:00:53,0,0,0,0,0,0,1,36,0,0,0,0,parse-cloud,São Paulo,Barueri,São Paulo,Barueri,2022-01-01 11:24:14.507,2022-01-01 11:24:14.507,0
1290577,2022-01-01 03:00:47,0,0,0,0,0,0,5,16,0,0,0,0,parse-cloud,São Paulo,São Paulo,São Paulo,São Paulo,2022-01-01 11:24:43.546,2022-01-01 11:24:43.546,0
1290578,2022-01-01 03:00:38,0,0,0,0,3,0,10,10,0,1,0,0,parse-cloud,Ceará,Barbalha,Ceará,Barbalha,2022-01-01 11:29:02.365,2022-01-01 11:29:02.365,0
1290579,2022-01-01 03:00:08,0,0,0,0,0,1,8,37,1,0,0,0,parse-cloud,Minas Gerais, rês Pon as,Minas Gerais, rês Pon as,2022-01-01 11:29:28.122,2022-01-01 11:29:28.122,0
1290580,2022-01-01 03:00:48,0,0,0,0,0,0,8,9,0,0,0,0,parse-cloud,Minas Gerais,Lavras,Minas Gerais,Lavras,2022-01-01 11:29:32.547,2022-01-01 11:29:32.547,0
1290581,2022-01-01 03:00:00,0,0,0,0,6,8,8,36,0,1,0,0,parse-cloud,San a Ca arina,Florianópolis,San a Ca arina,Florianópolis,2022-01-01 11:32:58.239,2022-01-03 16:54:59.645,0
1290584,2022-01-01 03:00:00,0,0,0,0,0,0,0,5,0,0,0,0,parse-cloud,Ceará,Paca uba,Ceará,Paca uba,2022-01-01 11:42:58.661,2022-01-01 11:42:58.661,0
1290585,2022-01-01 02:00:03,0,0,0,0,4,0,4,0,1,0,0,0,parse-cloud,Minas Gerais, imó eo,Minas Gerais, imó eo,2022-01-01 11:43:12.869,2022-01-01 11:43:12.869,0
1290586,2022-01-01 03:00:34,0,0,0,0,1,0,24,50,0,0,0,0,parse-cloud,Rio Grande do Sul,Por o Alegre,Rio Grande do Sul,Por o Alegre,2022-01-01 11:45:10.542,2022-01-01 11:45:10.542,0
1290587,2022-01-01 03:00:46,0,0,0,0,0,3,20,45,0,0,0,0,parse-cloud,São Paulo, upã,São Paulo, upã,2022-01-01 11:47:14.900,2022-01-01 11:47:14.900,0
1290588,2022-01-01 03:00:43,0,0,0,0,0,0,0,6,0,0,0,0,parse-cloud,São Paulo,San o Anas ácio,São Paulo,San o Anas ácio,2022-01-01 11:50:43.947,2022-01-01 11:50:43.947,0
1290589,2022-01-01 03:00:01,0,0,0,0,3,3,12,28,0,0,0,0,parse-cloud,Minas Gerais,São Lourenço,Minas Gerais,São Lourenço,2022-01-01 11:51:37.462,2022-01-01 11:51:37.462,0
1290591,2022-01-01 03:00:23,0,0,0,0,0,1,20,87,0,0,0,0,parse-cloud,Ma o Grosso do Sul,Campo Grande,Ma o Grosso do Sul,Campo Grande,2022-01-01 11:52:28.513,2022-01-01 11:52:28.513,1
1290592,2022-01-01 03:00:49,0,0,0,0,7,0,7,0,1,0,0,0,parse-cloud,Minas Gerais, eófilo O oni,Minas Gerais, eófilo O oni,2022-01-01 11:53:11.110,2022-01-01 11:53:11.110,0
1290593,2022-01-02 03:00:00,0,0,0,0,2,0,2,0,0,0,0,1,parse-cloud,Ceará,Igua u,Ceará,Igua u,2022-01-01 11:53:11.511,2022-01-03 13:38:29.119,0
1290594,2022-01-01 03:00:28,0,0,0,0,3,1,28,92,0,0,0,0,parse-cloud,Minas Gerais,Muriaé,Minas Gerais,Muriaé,2022-01-01 11:54:14.003,2022-01-01 11:54:14.003,1
1290595,2022-01-01 03:00:47,0,0,0,0,0,0,0,12,0,0,0,0,parse-cloud,Minas Gerais,Resende Cos a,Minas Gerais,Resende Cos a,2022-01-01 11:55:02.280,2022-01-01 11:55:02.280,0
1290596,2022-01-01 03:00:40,0,0,0,0,0,0,0,4,0,0,0,0,parse-cloud,São Paulo,São Paulo,São Paulo,São Paulo,2022-01-01 11:57:08.620,2022-01-01 11:57:08.620,0
1290597,2022-01-01 03:00:00,0,0,0,0,0,0,16,42,0,1,0,0,parse-cloud,Espíri o San o,Vi ória,Espíri o San o,Vi ória,2022-01-01 11:58:08.691,2022-01-01 11:59:08.435,0
